"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2019","7,617.55","7,623.32","7,678.82","7,593.75","182.20M","-0.30%"
"05/07/2019","7,640.15","7,713.49","7,743.06","7,572.61","234.70M","-1.98%"
"05/06/2019","7,794.09","7,662.92","7,804.55","7,662.92","170.54M","-0.66%"
"05/03/2019","7,845.73","7,784.29","7,847.52","7,772.44","168.29M","1.58%"
"05/02/2019","7,724.06","7,751.64","7,791.51","7,672.54","182.85M","-0.36%"
"05/01/2019","7,751.85","7,828.14","7,851.03","7,749.74","186.86M","-0.38%"
"04/30/2019","7,781.46","7,769.30","7,792.32","7,726.07","195.63M","-0.73%"
"04/29/2019","7,839.04","7,825.64","7,851.85","7,812.97","143.98M","0.16%"
"04/26/2019","7,826.68","7,791.15","7,826.89","7,742.60","187.50M","0.12%"
"04/25/2019","7,816.92","7,850.71","7,851.98","7,778.23","192.12M","0.42%"
"04/24/2019","7,784.41","7,813.02","7,827.05","7,783.59","180.44M","-0.34%"
"04/23/2019","7,810.71","7,724.17","7,819.34","7,719.09","171.31M","1.26%"
"04/22/2019","7,713.49","7,658.37","7,715.33","7,653.89","129.12M","0.31%"
"04/18/2019","7,689.72","7,688.93","7,694.18","7,647.40","188.48M","0.12%"
"04/17/2019","7,680.72","7,705.32","7,715.07","7,659.85","198.94M","0.34%"
"04/16/2019","7,654.73","7,651.19","7,670.40","7,631.64","165.46M","0.34%"
"04/15/2019","7,629.12","7,630.60","7,636.81","7,578.54","129.62M","0.01%"
"04/12/2019","7,628.15","7,624.15","7,630.52","7,596.56","139.85M","0.44%"
"04/11/2019","7,594.89","7,621.40","7,621.40","7,580.70","128.38M","-0.22%"
"04/10/2019","7,611.49","7,581.39","7,613.41","7,573.28","135.38M","0.57%"
"04/09/2019","7,568.49","7,571.88","7,596.75","7,555.62","154.64M","-0.41%"
"04/08/2019","7,599.74","7,565.06","7,602.08","7,536.42","141.44M","0.28%"
"04/05/2019","7,578.84","7,564.27","7,581.90","7,554.91","147.63M","0.51%"
"04/04/2019","7,540.57","7,542.16","7,571.13","7,496.30","164.96M","-0.06%"
"04/03/2019","7,544.97","7,538.17","7,589.69","7,520.40","218.60M","0.60%"
"04/02/2019","7,499.64","7,473.51","7,507.05","7,461.51","152.97M","0.28%"
"04/01/2019","7,478.42","7,450.81","7,481.84","7,422.44","166.95M","1.35%"
"03/29/2019","7,378.77","7,377.77","7,381.69","7,333.17","201.37M","0.80%"
"03/28/2019","7,320.47","7,325.06","7,346.04","7,277.69","138.74M","0.17%"
"03/27/2019","7,308.19","7,364.47","7,376.99","7,252.06","178.22M","-0.58%"
"03/26/2019","7,351.15","7,378.23","7,417.26","7,314.38","172.87M","0.47%"
"03/25/2019","7,316.96","7,299.93","7,342.51","7,265.28","168.62M","-0.12%"
"03/22/2019","7,326.06","7,458.44","7,482.35","7,323.52","219.57M","-2.23%"
"03/21/2019","7,493.27","7,356.94","7,505.41","7,356.94","220.56M","1.52%"
"03/20/2019","7,380.75","7,348.99","7,422.76","7,318.42","202.54M","0.43%"
"03/19/2019","7,349.28","7,357.58","7,390.29","7,321.93","236.91M","0.31%"
"03/18/2019","7,326.28","7,311.63","7,348.69","7,293.85","179.30M","0.26%"
"03/15/2019","7,306.99","7,274.14","7,331.30","7,265.64","456.55M","0.88%"
"03/14/2019","7,243.01","7,257.31","7,267.94","7,240.96","195.34M","-0.19%"
"03/13/2019","7,256.98","7,231.05","7,292.86","7,229.88","199.87M","0.77%"
"03/12/2019","7,201.28","7,176.23","7,219.41","7,166.95","175.01M","0.52%"
"03/11/2019","7,164.02","7,050.05","7,166.93","7,049.56","171.05M","2.11%"
"03/08/2019","7,015.69","6,940.90","7,018.92","6,940.72","177.75M","-0.16%"
"03/07/2019","7,026.88","7,089.63","7,097.91","7,001.81","182.76M","-1.20%"
